vessel_name,imo,year
OTTOMAN COURTESY,9788708,2017
YANG LI HU,9417177,2010
OTTOMAN EQUITY,9404950,2011
CHRYSANTHEMUM,9417452,2009
OTTOMAN INTEGRITY,9530618,2008
GHAT,9930105,2022
OTTOMAN SINCERITY,9788710,2017
IONIC ARTEMIS,9426441,2009
OTTOMAN TENACITY,9590682,2011
JAG LAXMI,9568196,2012
AFRODITI,9452880,2011
PACIFIC JEWELS,9732254,2016
ARGEUS I,1025485,2025
PHILOTIMOS,9793997,2018
CRUDE LEVANTE,9899363,2021
ROSS SEA,9457593,2011
CRUDE ZEPHYRUS,9899375,2021
STI GLADIATOR,9722170,2017
ORPHEAS,9318149,2020
STI GRATITUDE,9722182,2017
FOLEGANDROS,9247560,2018
SWAN LAKE,9158862,2009
KIMOLOS,9371282,2018
IONIC ASPIS,9523287,2011
MILOS,9138446,2024
AFRAPEARL II,9437672,2010
NISSOS ANTIMILOS,9895226,2021
PALLADIUM,1010167,2017
NISSOS IOS,9886770,2021
SEA HYMN,9412036,2011
NISSOS KOUFONISSI,9895214,2021
AQUALEGACY,9601833,2012
NISSOS SIFNOS,9884045,2020
AQUALOYALTY,9594664,2012
NISSOS SIKINOS,9884033,2020
BLACKCOMB SPIRIT,9417335,2010
NISSOS TINOS,9886782,2021
BLUE SEA,9413028,2009
POLIEGOS,9746621,2017
EMERALD SPIRIT,9422005,2009
MARAN HERMIONE,9779379,2017
GARIBALDI SPIRIT,9422835,2009
MARAN PENELOPE,9402914,2009
HOVDEN SPIRIT,9596997,2012
MARAN PLATO,9399507,2009
LEYTE SPIRIT,9484089,2017
MARAN POSEIDON,9402926,2010
LUZON SPIRIT,9572276,2017
MARAN PYTHIA,9402902,2009
ORCHID SPIRIT,9901867,2021
MARAN ORPHEUS,9868168,2020
PEAK SPIRIT,9514171,2008
MARAN SOLON,9881691,2021
SEBAROK SPIRIT,9572264,2011
ADVANTAGE SMOOTH,9999620,2025
SELETAR SPIRIT,9484077,2010
CAPTAIN LYRISTIS,9877183,2021
TRYSIL SPIRIT,9593414,2012
CEDAR,9403035,2022
WHISTLER SPIRIT,9417323,2010
CONSTANTIOS,9422366,2009
YAMATO SPIRIT,9414503,2008
LORD BYRON 21,9889954,2021
YOKOSUKA SPIRIT,9932402,2023
MARLIN SOMERSET,9835850,2019
MATILDA,9407457,2009
NORDIC HAWK,9749491,2016
SEACALM,9773753,2017
OCEANUS,9194919,2008
SEACHARM,9773765,2018
OTIS,9408217,2010
SEAFAITH,9843209,2020
SEA GALAXY,9694294,2022
SEAJEWEL,9388807,2009
SESTREA,9406659,2009
SEALEO,9473066,2012
SONANGOL CAZENGA,9766310,2017
SEALOYALTY,9302970,2018
SONANGOL HUILA,9575565,2012
SEAMUSIC,9407445,2009
SONANGOL KULUMBIMBI,9938482,2023
SEARANGER,9442158,2009
SONANGOL MAIOMBE,9766322,2017
SEARUBY,9759795,2017
STENA SUPERIOR,9579030,2012
SEARUNNER,9765029,2017
STENA SURPRISE,9533995,2012
SEASTAR,9373656,2008
MINERVA GEORGIA,9332157,2008
SEATRIBUTE,9857468,2020
MINERVA KALYPSO,9785225,2017
SEATRUST,9979993,2025
MINERVA MARINA,9411939,2009
SEAVELVET,9843211,2020
MINERVA VERA,9411941,2009
ARETEA,9711456,2015
MONTESPERANZA,9585871,2012
DF MONTMARTRE,9941714,2023
MONTESTENA,9585883,2012
DF MYSTRAS,9941702,2023
NEW TRUST,9274812,2022
EAGLE BINTULU,9795074,2019
NICOLAOS,9429297,2010
EAGLE BRASILIA,9795062,2019
VIOLANDO,9429285,2009
HAFNIA LOIRE,9941697,2023
ADVANTAGE SIERRA,9999632,2025
ADVANTAGE ANGEL,9779953,2017
ADVANTAGE SPICE,9419888,2010
AMADES,9903126,2022
ADVANTAGE SPRING,9466582,2010
IONIC ARIADNE,9856555,2020
ADVANTAGE START,9466570,2011
